#r[au] Energy[a.u]
0.6000000000	  -6.0215724486  -6.1766192827  -6.2772029922  -6.2889660125
0.8000000000	  -6.7274735625  -6.8631724538  -6.9151785405  -6.9226790662
1.0000000000	  -7.1188014237  -7.2486467954  -7.2799004914  -7.2838864721
1.2000000000	  -7.3726378301  -7.4978623531  -7.5174340954  -7.5196068532
1.4000000000	  -7.5447038702  -7.6654526946  -7.6781097441  -7.6796168175
1.6000000000	  -7.6619467665  -7.7790928059  -7.7877405207  -7.7890071860
1.8000000000	  -7.7410656906  -7.8557911540  -7.8621912684  -7.8633273158
2.0000000000	  -7.7935542328  -7.9069549197  -7.9121293268  -7.9131543120
2.2000000000	  -7.8273798464  -7.9404447555  -7.9449247207  -7.9458410649
2.4000000000	  -7.8479784802  -7.9616784776  -7.9657019875  -7.9665121339
2.6000000000	  -7.8590591475  -7.9743716821  -7.9780323234  -7.9787425542
2.8000000000	  -7.8632011967  -7.9810762744  -7.9844131559  -7.9850347223
3.0000000000	  -7.8622463104  -7.9835645348  -7.9866016498  -7.9871504781
3.2000000000	  -7.8575404067  -7.9830836992  -7.9858447676  -7.9863394750
3.4000000000	  -7.8500832953  -7.9805197661  -7.9830351981  -7.9834946077
3.6000000000	  -7.8406254328  -7.9765069364  -7.9788156249  -7.9792557261
3.8000000000	  -7.8297340258  -7.9715027305  -7.9736496683  -7.9740810012
4.0000000000	  -7.8178404150  -7.9658396376  -7.9678720000  -7.9683005579
4.2000000000	  -7.8052753145  -7.9597606625  -7.9617244478  -7.9621542571
4.4000000000	  -7.7922956271  -7.9534439796  -7.9553818560  -7.9558166351
4.6000000000	  -7.7791049224  -7.9470202313  -7.9489704310  -7.9494142256
4.8000000000	  -7.7658687206  -7.9405848255  -7.9425807842  -7.9430381346
5.0000000000	  -7.7527252953  -7.9342068056  -7.9362773198  -7.9367532813
5.2000000000	  -7.7397926235  -7.9279353648  -7.9301050829  -7.9306052074
5.4000000000	  -7.7271722250  -7.9218047260  -7.9240948030  -7.9246251016
5.6000000000	  -7.7149507735  -7.9158378683  -7.9182666334  -7.9188335080
5.8000000000	  -7.7032004067  -7.9100494101  -7.9126329465  -7.9132430697
6.0000000000	  -7.6919785619  -7.9044478436  -7.9072004363  -7.9078605703
6.2000000000	  -7.6813279487  -7.8990372568  -7.9019716980  -7.9026884680
